LA Makerspace,https://lamakerspace.org/,"We're a 501(c)(3) nonprofit here to help kids learn STEAM (Science, Technology, Engineering, Art and Math) — Maker-style"
"Home I Maker Nexus | Makerspace in Sunnyvale, CA",https://www.makernexus.org/,"We are a non-profit makerspace in Sunnyvale, California, with a mission of improving maker skills in our community through classes, workshops, and practice"
The Ultimate DIY Workshop and Makerspace!,https://urbanworkshop.net/,"Come by anytime for a free tour of our 28,000 square foot location at 365-A Clinton Street, Costa Mesa, CA 92626"
UC Berkeley Library Makerspace: About,https://guides.lib.berkeley.edu/make,"6 days ago — The UC Berkeley Library Makerspace is a collaborative, open, and inviting space where undergraduates are invited to create and make together"
Makerspaces,https://makerspace.com/,"Welcome to Make:'s Makerspace Directory, a comprehensive guide to the growing community of makerspaces around the globe "
Ace Makerspace – Making is for everyone,https://www.acemakerspace.org/,We are located near the border of Berkeley and Emeryville in Oakland just off the north side of Stanford Avenue
Makerspace - CSUM,https://www.csum.edu/makerspace/index.html,"The Makerspace is equipped for a wide variety of skills and projects, including (but certainly not limited to) sewing, 3D printing, and soldering and open to "
"THE BEST 10 Makerspaces in SOUTHERN CALIFORNIA, ...",https://www.yelp.com/search?cflt=makerspaces&find_loc=Southern+California%2C+CA,"Top 10 Best Makerspaces Near Southern California, California - With Real Reviews · 1"
Makerspace Hideout | Creative and Wellness Retreat Space,https://www.makerspacehideout.com/,"Looking for the perfect retreat space near Los Angeles? Host your next retreat, event, gathering, or workshop with us at Makerspace Hideout"
"MakeX | makerspace | 4000 Middlefield Road, Palo Alto, ...",https://www.makexpaloalto.org/,Check out a free access maker space in Palo Alto
Makerspace,https://www.redwoodcity.org/departments/library/makerspace,For general program inquires please contact Sarah La Torra at slatorra@redwoodcity
SLO MakerSpace,https://www.slomakerspace.com/,"SLO MakerSpace lives and breathes in thanks not only to our community partners and you, our members, but also to the hearts and efforts of our volunteer "
Benicia Makerspace: Home,https://www.beniciamakerspace.org/,"With everything from Laser Cutters to 3D Printers, Computer controlled Wood Router to Computer controlled metal milling machines, we've got just what you "
"MakerSpace — Glendale Library, Arts & Culture",https://www.eglendalelac.org/makerspace,"A Department of the City of Glendale, CA"
Conejo Valley Makerspace | makerspace | 31332 Via Colinas ...,https://www.cvmake.org/,"Conejo Valley Makerspace is here to serve the Southern California, Conejo Valley area"
Makerspace,https://krauseinnovationcenter.org/makerspace/,Makerspace
Maketory - San Diego Makerspace and Coworking Facility,https://www.maketory.com/,
"Makerspaces near Los Angeles, California, CA",https://makerspacedir.com/location/los-angeles-ca/,"Results for Los Angeles, California Listings"
The Makerspace,https://www.hmc.edu/makerspace/,The Makerspace
Makerspace - UCSB Library |,https://www.library.ucsb.edu/makerspace,Everything you need to get started in the Makerspace is located within the Makerspace Canvas course
ECST Makerspace,https://www.calstatela.edu/ecst/makerspace,ECST Makerspace
Inland Empire Makerspaces,https://www.theartsarea.org/makerspace,
Maker Space Movement,https://ccst.us/reports/maker-space-movement/,The Maker Movement is rapidly growing at educational institutions around the world and across age and employment levels
Makerspace: Home - Guides at Huntington Beach Public Library,https://hbpl.libguides.com/makerspace,
Makerspace | City of Hayward - Official website,https://www.hayward-ca.gov/public-library/using-library/makerspace,Hayward mark Visit Hayward-ca
"Collab MakerSpace- Woodshop, Metalshop membership space",https://collabmakerspace.com/,"MakerSpace, Woodshop, Metalshop for Southern California Creatives"
"MakerSpace | Whittier, CA",https://www.whittierlibrary.org/services/makerspace,"The purpose of the MakerSpace is to provide library patrons access to various technologies, tools, and traditional crafts that support their educational and "
A Makerspace | Upland Claremont Ontario La Verne,https://www.umakers.org/,"Located at Monte Vista and Foothill, UMakers is a not for profit makerspace"
Makerspace,https://library.sonoma.edu/create/makerspace,Makerspace
"Lightspeed | City of Ontario, California",https://www.ontarioca.gov/lightspeed,"Lightspeed, the Ontario City Library's community makerspace, is proud to offer two locations to serve your needs"
Makerspace | Sacramento City College,https://scc.losrios.edu/student-resources/makerspace,10:30 am to 7:30 pm
Creat'R Lab Makerspace - UCR Library,https://library.ucr.edu/research-support/making-and-innovation/creatr-lab-makerspace,"The Creat'R Lab Makerspace (Orbach Library, Room 140) at the University of California, Riverside is a dedicated maker space open to the students, faculty, "
Makerspace - Engineering Instructional Labs - UC Merced,https://soeinstructional.ucmerced.edu/instructional-labs/rapid-prototyping-services,Makerspace
"Makerspace - Torrance, CA",https://www.elcamino.edu/support/library/makerspace.php,A Makerspace is a place for you to explore your making and creative interests
Makerspaces and Making in California Public Libraries,https://www.library.ca.gov/uploads/2024/06/Makerspaces-in-California-Public-Libraries_-Fostering-Community-Creativity.pdf,Makerspaces and Making
Makerspace and STEAM Labs,https://www.pleasantvalleysd.org/departments/educational-services/makerspace-and-steam-labs,600 Temple Ave
Baum Family Maker Space,https://viterbiundergrad.usc.edu/bfms/,"Set on the ground floor of the Science and Engineering Library on USC's University Park Campus, The Baum Family Maker Space "
Makerspace,https://www.cabrillo.edu/makerspace/,Cabrillo MakerSpace at Cabrillo College
Family Friendly Makerspaces: SoCal's Top 25 Creative Hubs,https://ozobot.com/25-awesome-family-friendly-makerspaces-in-southern-california/,"Jul 6, 2017 — 25 Awesome Family Friendly Makerspaces in Southern California "
Makerspace,https://www.rcc.edu/life-at-rcc/makerspace.html,Makerspace Canvas
"Makerspace - LibGuides at California State University, Fullerton",https://libraryguides.fullerton.edu/makerspace,"Oct 16, 2024 — The Pollak Library Makerspace is a place where students, faculty, and staff can make, create, collaborate, and innovate"
MakerSpace,https://www.canyons.edu/makerspace,MakerSpace
"CSU, Chico Makerspace Allows Students to Turn Their ...",https://www.csuchico.edu/cob/news/makerspace.shtml,"Located on the second floor of the Meriam Library, California State University, Chico's Makerspace gives students the tools they need to create their "
Innovation Hub & Makerspace Lab | Antelope Valley College,http://www.avc.edu/catie/innovation-hub-makerspace-lab,California Aerospace Technologies Institute of Excellence (CATIE) is establishing a Makerspace and Innovation Hub at Antelope Valley College Palmdale Center to 
CSUMB Makerspace,https://csumb.libguides.com/makerspace,"Sep 12, 2024 — California State University Monterey Bay · LibGuides · CSUMB Makerspace"
Pop-Up Makerspace,https://www.library.ca.gov/services/to-libraries/ideas/pop-up-makerspace/,"Teen participants at Mission Viejo Library completed a STEM-themed craft project that encouraged creativity, independence, and self-guided learning"
UCSB Makerspace - UC Santa Barbara,https://www.campuscalendar.ucsb.edu/makerspace,"The UCSB Makerspace is a free, creative, Library resource for all UCSB students, faculty, and staff"
Innovation/Makerspace Center - Information Technology,https://www.fullerton.edu/it/innovation_makerspace_center/,"Mar 12, 2024 — To report problems or comments with this site, please contact helpdesk@fullerton"
Maker Spaces & Facilities,https://undergraduate.engr.ucr.edu/research/maker-spaces-facilities,Makerspace
Makerspace Information Has a New Home! - Meriam Library,https://library.csuchico.edu/makerspace,Get Adobe Reader
UCLA Samueli Makerspace | Clinical and Translational ...,https://ctsi.ucla.edu/ucla-samueli-makerspace,"Nov 17, 2023 — "
UMAKERS MAKERSPACE - Updated December 2024,https://www.yelp.com/biz/umakers-makerspace-upland-2,"UMAKERS MAKERSPACE, 1326 Monte Vista Ave, Unit 3, Upland, CA 91786, 21 "
Makerspace Program,http://krauseinnovationcenter.org/makerspace/makerspace-certificate/,"Apr 6, 2018 — "
Makerspace – Curriculum in California Public Schools,https://nes.nuviewusd.org/apps/pages/index.jsp?uREC_ID=345480&type=d&pREC_ID=1232683,"Nuview Elementary School is part of Nuview Union School District in Nuevo, CA"
"Makerspace Jobs, Employment in California",https://www.indeed.com/q-makerspace-l-california-jobs.html,26 Makerspace jobs available in California on Indeed
Students create crafts and community in the library's ...,https://csumb.edu/news/news-listing/2023/q2/students-create-crafts-and-community-in-the-librarys-makerspace/,"May 30, 2023 — A student in the library's Makerspace | Photo by Brent Dundore-Arias "
"Makerspace Kits | Lake County, CA",https://www.lakecountyca.gov/1749/Makerspace-Kits,"Unleash your creativity and dive into the world of science with our Makerspace Kit, available for checkout at the library"
Makerspace Live: 180 studios in Santa Rosa CA,https://www.youtube.com/watch?v=FJ7Qg7pnDr4,
Makerspace FAQs - CSUM,https://www.csum.edu/makerspace/faq.html,Makerspace FAQs
LA Makerspace,https://twobitcircus.org/our-programs/la-makerspace/,
UMakers is a non-profit makerspace following the Fab Lab ...,https://www.umakers.org/about,"UMakers is California, makerspace that opened in late 2016"
HUMANMADE,https://www.humanmade.org/,"In partnership with the California Office of the Small Business Advocate (CalOSBA), Humanmade's new California accelerator initiative provides free access "
California makerspace spreads creativity to teachers ...,https://fedscoop.com/california-makerspace-spreads-creativity-to-teachers-across-the-country/,"Sep 9, 2015 — The Tinkering Studio, a makerspace inside the Exploratorium, a science museum in San Francisco, received a $750000 grant from the Department "
Public Library Makerspace,https://lamakerspace.org/program/la-first-library-makerspace/,LA Makerspace is currently raising funds for the creation of a Family 
MakerSpace at Mt. SAC,https://www.mtsac.edu/makerspace/,The MakerSpace is now CLOSED until futher notice
Makerspaces & Materials - RAFT,https://raft.net/for-educators/makerspaces/,"RAFT will be closed on Thursday, July 4 in observance of Independence Day"
HexLab Makerspace,https://hexlabmakerspace.com/,"Feb 3, 2023 — Van Nuys, CA 91406 (818) 698-1957"
Los Angeles Makerspace,https://la2050.org/organizations/los-angeles-makerspace,
Makerspace - Los Angeles,https://omgcschool.org/makerspace,Learning through creating allows for differentiated approaches for students with various learning needs
Makerspaces - Engineering Student Council,https://esc.studentorg.berkeley.edu/makerspaces.html,"If you are using a 3D printer that is part of a makerspace on campus, they will have a recommendation to which software to use"
EE Makerspace,https://exploreecology.org/ee-makerspace/,EE Makerspace
"Makerspaces in Oakland, CA",https://makerspacedir.com/location/oakland/,"Makerspace, Hackerspaces, Fablabs, Coworking spaces, and other creatives in Oakland, CA"
About Us — Maker Nexus,https://www.makernexus.org/aboutus,"Maker Nexus is a membership-based non-profit makerspace in Sunnyvale, California"
Fort Bragg Ca MakerSpace,https://www.facebook.com/groups/179190940885256/,Our Goal
A Librarian's Guide to Makerspaces: 16 Resources,https://www.oedb.org/ilibrarian/a-librarians-guide-to-makerspaces/,
SIIL Maker Studio - Home,https://www.cpp.edu/makerstudio/index.shtml,The Maker Studio is a makerspace—a location dedicated to creativity and creation where people gather to share ideas and to 
UC DAVIS DESIGN MAKERSPACE - About,https://designmakerspace.ucdavis.edu/,
"Makerspace | El Camino College | Torrance, CA",https://elcamino.oudeve.com/support/library/makerspace.html,What's in the Makerspace? 3D Printing
Scripps Sandbox Makerspace,https://scripps.ucsd.edu/msdc/scripps-sandbox-makerspace,"La Jolla, CA 92093 (858) 246-5511 · Maps and Directions · Contact Information"
Chimera,https://www.chimeraarts.org/,
MakerSpace,https://www.moorparkcollege.edu/student-services/makerspace,MakerSpace/Design Faculty
